,x,y,files,labels,dblabels,scores,Outliers,Scores - Linear,Scores - Log,colors
kplr005112029-2011073133259_llc.fits,-0.0830881634383765,1.435967756340561,./Plots/kplr005112029-2011073133259_llc.png,KIC 5112029,0,0.001216398282349784,#009999,#fde725,#cae11f,#1f77b4
kplr005374723-2011073133259_llc.fits,-0.24515882733398633,1.1298903080178064,./Plots/kplr005374723-2011073133259_llc.png,KIC 5374723,0,0.002554117657284931,#009999,#fbe723,#7cd250,#1f77b4
kplr008903898-2011073133259_llc.fits,-0.028029863557037134,-0.13723194090851756,./Plots/kplr008903898-2011073133259_llc.png,KIC 8903898,0,0.002088210848588769,#009999,#fde725,#90d743,#1f77b4
kplr003757024-2011073133259_llc.fits,-0.5000626872752189,1.2421687699297217,./Plots/kplr003757024-2011073133259_llc.png,KIC 3757024,0,0.0014340337834828896,#009999,#fde725,#b8de29,#1f77b4
kplr005339687-2011073133259_llc.fits,0.23808677705235928,-2.705137174072025,./Plots/kplr005339687-2011073133259_llc.png,KIC 5339687,0,0.003547103631885674,#009999,#fbe723,#5cc863,#1f77b4
kplr006520669-2011073133259_llc.fits,-0.3710835868399449,2.130985294999119,./Plots/kplr006520669-2011073133259_llc.png,KIC 6520669,0,0.002694048975395543,#009999,#fbe723,#75d054,#1f77b4
kplr008159826-2011073133259_llc.fits,-0.5378197411655254,0.6398156460106414,./Plots/kplr008159826-2011073133259_llc.png,KIC 8159826,0,0.0015433806543969542,#009999,#fde725,#b0dd2f,#1f77b4
kplr010485137-2011073133259_llc.fits,37.64274270614989,-7.532882673612807,./Plots/kplr010485137-2011073133259_llc.png,KIC 10485137,-1,0.10009174338652296,#333366,#52c569,#404688,#1f77b4
kplr011305762-2011073133259_llc.fits,-0.3799793813577146,0.719006830754891,./Plots/kplr011305762-2011073133259_llc.png,KIC 11305762,0,0.0014386644399713411,#009999,#fde725,#b8de29,#1f77b4
kplr008360359-2011073133259_llc.fits,7.806556208670882,-16.12499189286346,./Plots/kplr008360359-2011073133259_llc.png,KIC 8360359,-1,0.11280614602947785,#333366,#42be71,#424086,#1f77b4
kplr009204238-2011073133259_llc.fits,-0.612751851740054,1.7644740633239704,./Plots/kplr009204238-2011073133259_llc.png,KIC 9204238,0,0.0019416114244092376,#009999,#fde725,#98d83e,#1f77b4
kplr005371906-2011073133259_llc.fits,-0.4179941221248938,-0.2135110175968379,./Plots/kplr005371906-2011073133259_llc.png,KIC 5371906,0,0.0023842836060612395,#009999,#fbe723,#81d34d,#1f77b4
